	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
229	friendship	3	0.0002965599051008304	1	0.000192789666473877
230	seem	2	0.00019770660340055358	2	0.000385579332947754
231	well.	3	0.0002965599051008304	1	0.000192789666473877
232	checked	1	9.885330170027679e-05	2	0.000385579332947754
233	spying	2	0.00019770660340055358	1	0.000192789666473877
234	tricks	2	0.00019770660340055358	1	0.000192789666473877
235	butts	1	9.885330170027679e-05	2	0.000385579332947754
236	intimacy	2	0.00019770660340055358	1	0.000192789666473877
237	several	2	0.00019770660340055358	1	0.000192789666473877
238	refuses	3	0.0002965599051008304	2	0.000385579332947754
239	meaning	2	0.00019770660340055358	1	0.000192789666473877
240	commercial	3	0.0002965599051008304	1	0.000192789666473877
241	insulted	2	0.00019770660340055358	1	0.000192789666473877
242	too.	2	0.00019770660340055358	2	0.000385579332947754
243	pushing	2	0.00019770660340055358	2	0.000385579332947754
244	spirit	2	0.00019770660340055358	2	0.000385579332947754
245	iconic	2	0.00019770660340055358	1	0.000192789666473877
246	potatoes	2	0.00019770660340055358	1	0.000192789666473877
247	leblanc	4	0.00039541320680110717	1	0.000192789666473877
248	telescope	2	0.00019770660340055358	1	0.000192789666473877
249	dad.	1	9.885330170027679e-05	2	0.000385579332947754
250	countless	1	9.885330170027679e-05	2	0.000385579332947754
251	craziness	2	0.00019770660340055358	1	0.000192789666473877
252	ways	2	0.00019770660340055358	1	0.000192789666473877
253	co-starring	2	0.00019770660340055358	1	0.000192789666473877
254	died	4	0.00039541320680110717	1	0.000192789666473877
255	prestigious	2	0.00019770660340055358	1	0.000192789666473877
256	christmas	1	9.885330170027679e-05	2	0.000385579332947754
257	laugh	16	0.0015816528272044287	1	0.000192789666473877
258	police	2	0.00019770660340055358	1	0.000192789666473877
259	public	2	0.00019770660340055358	2	0.000385579332947754
260	talking	3	0.0002965599051008304	3	0.000578368999421631
261	due	3	0.0002965599051008304	1	0.000192789666473877
262	watched	7	0.0006919731119019375	2	0.000385579332947754
263	hurry	2	0.00019770660340055358	1	0.000192789666473877
264	cast	9	0.0008896797153024911	1	0.000192789666473877
265	inspires	2	0.00019770660340055358	1	0.000192789666473877
266	etc	1	9.885330170027679e-05	2	0.000385579332947754
267	review	2	0.00019770660340055358	1	0.000192789666473877
268	so	37	0.0036575721629102413	12	0.002313475997686524
269	smelly	4	0.00039541320680110717	1	0.000192789666473877
270	opinion	2	0.00019770660340055358	1	0.000192789666473877
271	market	2	0.00019770660340055358	1	0.000192789666473877
272	improvement	2	0.00019770660340055358	1	0.000192789666473877
273	unique	2	0.00019770660340055358	1	0.000192789666473877
274	hence	1	9.885330170027679e-05	2	0.000385579332947754
275	canceled	2	0.00019770660340055358	1	0.000192789666473877
276	curb	1	9.885330170027679e-05	2	0.000385579332947754
277	other.	1	9.885330170027679e-05	2	0.000385579332947754
278	this.	1	9.885330170027679e-05	2	0.000385579332947754
279	groin	2	0.00019770660340055358	1	0.000192789666473877
280	actual	2	0.00019770660340055358	1	0.000192789666473877
281	ross	122	0.012060102807433769	38	0.007326007326007326
282	mayor	2	0.00019770660340055358	1	0.000192789666473877
283	adams	2	0.00019770660340055358	1	0.000192789666473877
284	info	2	0.00019770660340055358	1	0.000192789666473877
285	beautiful	5	0.0004942665085013839	1	0.000192789666473877
286	golden	2	0.00019770660340055358	1	0.000192789666473877
287	metaphorical	2	0.00019770660340055358	1	0.000192789666473877
288	second	8	0.0007908264136022143	2	0.000385579332947754
289	famous	2	0.00019770660340055358	1	0.000192789666473877
290	decides	4	0.00039541320680110717	2	0.000385579332947754
291	mine	1	9.885330170027679e-05	2	0.000385579332947754
292	clint	1	9.885330170027679e-05	3	0.000578368999421631
293	compared	1	9.885330170027679e-05	2	0.000385579332947754
294	asks	3	0.0002965599051008304	1	0.000192789666473877
295	put	3	0.0002965599051008304	1	0.000192789666473877
296	concentrate	2	0.00019770660340055358	1	0.000192789666473877
297	graduate	1	9.885330170027679e-05	2	0.000385579332947754
298	son	3	0.0002965599051008304	3	0.000578368999421631
299	perk	8	0.0007908264136022143	1	0.000192789666473877
300	nothing	3	0.0002965599051008304	3	0.000578368999421631
301	stairs	3	0.0002965599051008304	1	0.000192789666473877
302	urban	2	0.00019770660340055358	1	0.000192789666473877
303	together	12	0.0011862396204033216	1	0.000192789666473877
304	applied	2	0.00019770660340055358	1	0.000192789666473877
305	appears	3	0.0002965599051008304	1	0.000192789666473877
306	blister	2	0.00019770660340055358	1	0.000192789666473877
307	porcelain	2	0.00019770660340055358	1	0.000192789666473877
308	reacting	2	0.00019770660340055358	1	0.000192789666473877
309	laughing	2	0.00019770660340055358	2	0.000385579332947754
310	apart	2	0.00019770660340055358	1	0.000192789666473877
311	wet	2	0.00019770660340055358	1	0.000192789666473877
312	crazed	2	0.00019770660340055358	1	0.000192789666473877
313	globe	2	0.00019770660340055358	1	0.000192789666473877
314	plays	3	0.0002965599051008304	2	0.000385579332947754
315	how	23	0.002273625939106366	14	0.002699055330634278
316	stain	2	0.00019770660340055358	1	0.000192789666473877
317	proper	3	0.0002965599051008304	1	0.000192789666473877
318	aurora	1	9.885330170027679e-05	2	0.000385579332947754
319	invited	3	0.0002965599051008304	1	0.000192789666473877
320	realizing	2	0.00019770660340055358	1	0.000192789666473877
321	head	2	0.00019770660340055358	1	0.000192789666473877
322	ever	13	0.0012850929221035982	2	0.000385579332947754
323	'	19	0.001878212732305259	4	0.000771158665895508
324	go	15	0.0014827995255041518	6	0.001156737998843262
325	painted	1	9.885330170027679e-05	2	0.000385579332947754
326	introduceds	2	0.00019770660340055358	1	0.000192789666473877
327	incident.	2	0.00019770660340055358	1	0.000192789666473877
328	causes	2	0.00019770660340055358	1	0.000192789666473877
329	hardworking	2	0.00019770660340055358	1	0.000192789666473877
330	mess	2	0.00019770660340055358	2	0.000385579332947754
331	boot	2	0.00019770660340055358	1	0.000192789666473877
332	story-line	1	9.885330170027679e-05	3	0.000578368999421631
333	later	5	0.0004942665085013839	4	0.000771158665895508
334	life	8	0.0007908264136022143	6	0.001156737998843262
335	flat	1	9.885330170027679e-05	2	0.000385579332947754
336	are.	2	0.00019770660340055358	1	0.000192789666473877
337	only	20	0.0019770660340055358	10	0.00192789666473877
338	candle	2	0.00019770660340055358	1	0.000192789666473877
339	though.	2	0.00019770660340055358	1	0.000192789666473877
340	kiss.	3	0.0002965599051008304	1	0.000192789666473877
341	le	1	9.885330170027679e-05	2	0.000385579332947754
342	super	8	0.0007908264136022143	3	0.000578368999421631
343	song.i	3	0.0002965599051008304	1	0.000192789666473877
344	epic	2	0.00019770660340055358	1	0.000192789666473877
345	pheebe	1	9.885330170027679e-05	2	0.000385579332947754
346	horrified	2	0.00019770660340055358	1	0.000192789666473877
347	pregnant	2	0.00019770660340055358	1	0.000192789666473877
348	dialogues	5	0.0004942665085013839	1	0.000192789666473877
349	which	25	0.0024713325425069197	5	0.000963948332369385
350	bitter	2	0.00019770660340055358	2	0.000385579332947754
351	accidentally	2	0.00019770660340055358	2	0.000385579332947754
352	frightens	2	0.00019770660340055358	1	0.000192789666473877
353	finer	1	9.885330170027679e-05	2	0.000385579332947754
354	stated	2	0.00019770660340055358	1	0.000192789666473877
355	keep	8	0.0007908264136022143	2	0.000385579332947754
356	hi	2	0.00019770660340055358	1	0.000192789666473877
357	wow	2	0.00019770660340055358	1	0.000192789666473877
358	handsome	2	0.00019770660340055358	1	0.000192789666473877
359	result	2	0.00019770660340055358	1	0.000192789666473877
360	buddies	2	0.00019770660340055358	1	0.000192789666473877
361	dog	4	0.00039541320680110717	1	0.000192789666473877
362	now	15	0.0014827995255041518	5	0.000963948332369385
363	baby	9	0.0008896797153024911	3	0.000578368999421631
364	convinces	2	0.00019770660340055358	1	0.000192789666473877
365	jeff	3	0.0002965599051008304	1	0.000192789666473877
366	outburst	2	0.00019770660340055358	1	0.000192789666473877
367	cool	2	0.00019770660340055358	2	0.000385579332947754
368	cringy	1	9.885330170027679e-05	3	0.000578368999421631
369	egg	2	0.00019770660340055358	1	0.000192789666473877
370	receptionist	1	9.885330170027679e-05	2	0.000385579332947754
371	an	2	0.00019770660340055358	1	0.000192789666473877
372	bad.	1	9.885330170027679e-05	2	0.000385579332947754
373	others	2	0.00019770660340055358	2	0.000385579332947754
374	simultaneously	2	0.00019770660340055358	1	0.000192789666473877
375	together-	2	0.00019770660340055358	1	0.000192789666473877
376	with	1	9.885330170027679e-05	2	0.000385579332947754
377	wants	6	0.0005931198102016608	1	0.000192789666473877
378	worried	1	9.885330170027679e-05	2	0.000385579332947754
379	soon	1	9.885330170027679e-05	2	0.000385579332947754
380	upset	4	0.00039541320680110717	3	0.000578368999421631
381	properly.	2	0.00019770660340055358	1	0.000192789666473877
382	absurd	1	9.885330170027679e-05	3	0.000578368999421631
383	share	3	0.0002965599051008304	1	0.000192789666473877
384	regretting	2	0.00019770660340055358	1	0.000192789666473877
385	hears	6	0.0005931198102016608	1	0.000192789666473877
386	uncertain	2	0.00019770660340055358	1	0.000192789666473877
387	cracking	2	0.00019770660340055358	1	0.000192789666473877
388	sholes	2	0.00019770660340055358	1	0.000192789666473877
389	s2	2	0.00019770660340055358	1	0.000192789666473877
390	aftermath	1	9.885330170027679e-05	2	0.000385579332947754
391	humor.	2	0.00019770660340055358	1	0.000192789666473877
392	nuts	2	0.00019770660340055358	4	0.000771158665895508
393	dumb	1	9.885330170027679e-05	2	0.000385579332947754
394	perry	7	0.0006919731119019375	5	0.000963948332369385
395	school	4	0.00039541320680110717	1	0.000192789666473877
396	certainly	3	0.0002965599051008304	1	0.000192789666473877
397	off	6	0.0005931198102016608	7	0.001349527665317139
398	sitcoms	2	0.00019770660340055358	1	0.000192789666473877
399	official	2	0.00019770660340055358	1	0.000192789666473877
400	base	1	9.885330170027679e-05	2	0.000385579332947754
401	terrible	4	0.00039541320680110717	1	0.000192789666473877
402	resumes	3	0.0002965599051008304	1	0.000192789666473877
403	want	16	0.0015816528272044287	5	0.000963948332369385
404	english	2	0.00019770660340055358	1	0.000192789666473877
405	boyfriend	3	0.0002965599051008304	1	0.000192789666473877
406	city	2	0.00019770660340055358	1	0.000192789666473877
407	lad	1	9.885330170027679e-05	2	0.000385579332947754
408	show	29	0.002866745749308027	18	0.003470213996529786
409	screen	3	0.0002965599051008304	1	0.000192789666473877
410	sober	1	9.885330170027679e-05	4	0.000771158665895508
411	invites	3	0.0002965599051008304	1	0.000192789666473877
412	previous	7	0.0006919731119019375	2	0.000385579332947754
